"points","all_attributes","date_day_period","date_day_nswprice","date_day_nswdemand","date_day_vicprice","date_day_vicdemand","date_day_transfer","date_period_nswprice","date_period_nswdemand","date_period_vicprice","date_period_vicdemand","date_period_transfer","date_nswprice_nswdemand","date_nswprice_vicprice","date_nswprice_vicdemand","date_nswprice_transfer","date_nswdemand_vicprice","date_nswdemand_vicdemand","date_nswdemand_transfer","date_vicprice_vicdemand","date_vicprice_transfer","date_vicdemand_transfer","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"29280","0.9999999999999996","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.41666666666666663","0.16666666666666666","0.37500000000000006","0.04166666666666666","0.375","0.27083333333333337","0.2916666666666667","0.27083333333333337","0.24999999999999997","0.33333333333333337","0.20833333333333337","0.3333333333333333","0.22916666666666666","0.33333333333333337","0.18749999999999997","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","0.4166666666666667","0.4999999999999999","0.41666666666666674","0.5208333333333333","0.4166666666666667","0.22916666666666666","0.45833333333333337","0.4375","0.5416666666666666","0.375","0.3958333333333334","0.35416666666666674","0.4166666666666667","0.29166666666666663","0.37500000000000006","0.2708333333333333","0.39583333333333337","0.47916666666666663","0.3958333333333333","0.33333333333333337"
"29328","0.9999999999999998","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","0.20833333333333334","0.04166666666666667","0.27083333333333337","0.14583333333333334","0.41666666666666663","0.1875","0.1875","0.22916666666666663","0.375","0.24999999999999997","0.125","0.4375","0.3125","0.35416666666666663","0.5625","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0000000000000002","0.9999999999999999","0.2083333333333333","0.31249999999999994","0.24999999999999997","0.5416666666666666","0.2708333333333333","0.14583333333333331","0.5624999999999999","0.33333333333333337","0.5416666666666666","0.5625","0.25","0.22916666666666663","0.45833333333333337","0.3125","0.375","0.5625","0.31250000000000006","0.45833333333333337","0.5625","0.5624999999999999"
"29376","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","0.1875","0.2083333333333333","0.10416666666666666","0.14583333333333334","0.4583333333333333","0.25","0.10416666666666666","0.2708333333333333","0.3125","0.22916666666666666","0.22916666666666669","0.4375","0.20833333333333331","0.33333333333333337","0.37499999999999994","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.35416666666666674","0.20833333333333337","0.3125","0.5","0.2708333333333333","0.2708333333333333","0.5","0.20833333333333334","0.5","0.5","0.31250000000000006","0.3333333333333333","0.4583333333333333","0.3125","0.3333333333333333","0.39583333333333326","0.27083333333333337","0.4583333333333334","0.4791666666666667","0.37499999999999994"
"29424","0.9999999999999996","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","0.25","0.08333333333333334","0.18749999999999994","0.25","0.35416666666666663","0.24999999999999997","0.1875","0.20833333333333334","0.4375","0.20833333333333331","0.2708333333333333","0.3125","0.20833333333333337","0.39583333333333337","0.3541666666666667","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0000000000000002","1.0","1.0","0.9999999999999999","1.0","0.31250000000000006","0.2708333333333333","0.33333333333333337","0.5208333333333334","0.24999999999999997","0.375","0.43749999999999994","0.35416666666666663","0.4791666666666666","0.5","0.3125","0.35416666666666674","0.5416666666666667","0.27083333333333337","0.45833333333333337","0.47916666666666663","0.2708333333333333","0.4583333333333335","0.5208333333333334","0.4583333333333333"
"29472","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.3541666666666667","0.4375","0.39583333333333326","0.47916666666666663","0.6041666666666666","0.37500000000000006","0.22916666666666669","0.4375","0.6041666666666667","0.375","0.39583333333333337","0.6041666666666666","0.3958333333333333","0.6041666666666667","0.6041666666666667","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5833333333333333","0.4375","0.5625","0.7083333333333334","0.5416666666666667","0.5208333333333334","0.6458333333333333","0.5625","0.6666666666666666","0.625","0.37499999999999994","0.43750000000000006","0.6041666666666666","0.4583333333333333","0.6041666666666666","0.625","0.41666666666666674","0.6041666666666666","0.6041666666666666","0.6041666666666667"
"29520","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.39583333333333337","0.125","0.29166666666666663","0.18749999999999997","0.08333333333333334","0.41666666666666663","0.16666666666666669","0.375","0.08333333333333337","0.375","0.1875","0.14583333333333331","0.3125","0.16666666666666669","0.08333333333333331","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","0.49999999999999994","0.43750000000000006","0.45833333333333337","0.3958333333333334","0.39583333333333326","0.27083333333333326","0.20833333333333331","0.3750000000000001","0.29166666666666663","0.1875","0.4375","0.45833333333333337","0.41666666666666663","0.3958333333333334","0.16666666666666669","0.375","0.4166666666666667","0.375","0.18750000000000003","0.3125"
"29568","0.9999999999999997","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","0.375","0.7083333333333335","0.27083333333333337","0.6249999999999999","0.4166666666666667","0.7083333333333333","0.39583333333333337","0.6875","0.5416666666666666","0.7083333333333333","0.7083333333333333","0.7083333333333333","0.7083333333333334","0.4583333333333333","0.5625","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","0.7291666666666666","0.39583333333333337","0.7499999999999999","0.6250000000000001","0.7083333333333335","0.7291666666666667","0.7083333333333333","0.7499999999999999","0.5625","0.6666666666666666","0.7083333333333333","0.7083333333333333","0.7083333333333334","0.7083333333333334","0.5625","0.6874999999999999","0.7083333333333333","0.7083333333333334","0.7083333333333334","0.7083333333333334"
"29616","0.9999999999999992","1.0","1.0","1.0","1.0","1.0","1.0","0.37500000000000006","0.08333333333333333","0.37500000000000006","0.1875","0.2708333333333333","0.375","0.4166666666666667","0.3541666666666667","0.41666666666666674","0.39583333333333337","0.16666666666666666","0.20833333333333331","0.375","0.3958333333333333","0.20833333333333331","1.0","1.0000000000000002","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","0.4375000000000001","0.4375000000000001","0.41666666666666663","0.4791666666666667","0.43749999999999994","0.22916666666666669","0.39583333333333337","0.41666666666666663","0.4791666666666667","0.375","0.4375","0.4375","0.4583333333333333","0.4166666666666667","0.43750000000000006","0.4375","0.43750000000000006","0.4374999999999999","0.2708333333333333","0.4166666666666667"
"29664","0.9999999999999992","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.22916666666666669","0.06249999999999999","0.18750000000000003","0.125","0.14583333333333337","0.22916666666666669","0.18749999999999997","0.20833333333333334","0.2083333333333333","0.1875","0.125","0.10416666666666669","0.22916666666666666","0.20833333333333334","0.14583333333333331","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0000000000000002","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","1.0000000000000002","0.9999999999999999","1.0","0.2916666666666667","0.3125","0.3125","0.33333333333333337","0.2708333333333333","0.14583333333333331","0.22916666666666666","0.27083333333333337","0.33333333333333354","0.2708333333333333","0.2916666666666667","0.29166666666666663","0.2708333333333333","0.2916666666666667","0.2916666666666667","0.24999999999999997","0.2708333333333333","0.2708333333333333","0.22916666666666666","0.3125"
"29712","0.9999999999999997","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","0.2708333333333333","0.10416666666666666","0.22916666666666669","0.3333333333333333","0.5625","0.35416666666666674","0.27083333333333326","0.3958333333333333","0.5833333333333334","0.2916666666666667","0.41666666666666663","0.6041666666666667","0.35416666666666663","0.5833333333333334","0.5833333333333333","1.0000000000000002","1.0","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","0.3541666666666667","0.33333333333333337","0.47916666666666674","0.6874999999999999","0.31249999999999994","0.43750000000000006","0.625","0.4375000000000001","0.6458333333333334","0.6458333333333331","0.3958333333333334","0.5625","0.6666666666666666","0.39583333333333337","0.5833333333333333","0.625","0.47916666666666674","0.625","0.6458333333333335","0.625"
"29760","0.9999999999999993","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.3333333333333333","0.3541666666666667","0.4166666666666667","0.24999999999999994","0.43750000000000006","0.33333333333333337","0.20833333333333331","0.375","0.5208333333333333","0.3541666666666666","0.5208333333333334","0.5416666666666667","0.4791666666666667","0.6458333333333334","0.45833333333333337","1.0000000000000002","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999997","1.0000000000000002","0.9999999999999999","0.9999999999999999","0.4791666666666667","0.4583333333333333","0.5416666666666666","0.6458333333333335","0.5416666666666667","0.5208333333333333","0.5833333333333334","0.5625","0.75","0.5208333333333333","0.4583333333333333","0.6458333333333336","0.6458333333333333","0.49999999999999994","0.6458333333333334","0.6041666666666666","0.6666666666666667","0.7499999999999999","0.5833333333333334","0.7083333333333334"
"29808","0.9999999999999991","1.0","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","0.5","0.5","0.47916666666666674","0.20833333333333331","0.3125","0.5833333333333333","0.4583333333333332","0.5416666666666666","0.4583333333333334","0.6041666666666667","0.47916666666666663","0.5208333333333334","0.5","0.5416666666666666","0.35416666666666663","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","0.6666666666666665","0.5625","0.6666666666666667","0.5416666666666667","0.6874999999999999","0.5833333333333331","0.6458333333333333","0.6249999999999999","0.5833333333333334","0.45833333333333337","0.6041666666666667","0.6666666666666666","0.7083333333333333","0.5833333333333333","0.5416666666666666","0.6041666666666665","0.6666666666666666","0.7083333333333333","0.5833333333333334","0.6041666666666665"
"29856","0.9999999999999992","0.9999999999999999","1.0000000000000002","0.9999999999999999","1.0","1.0","1.0","0.5416666666666667","0.2916666666666667","0.3958333333333333","0.7291666666666667","0.6041666666666666","0.5416666666666666","0.375","0.7291666666666666","0.6041666666666667","0.4583333333333333","0.7291666666666667","0.6041666666666665","0.7291666666666666","0.6041666666666665","0.7291666666666667","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","0.7083333333333334","0.5416666666666666","0.7708333333333333","0.7708333333333331","0.6041666666666667","0.7499999999999997","0.6458333333333333","0.7499999999999999","0.6875000000000001","0.7291666666666665","0.5833333333333334","0.8124999999999999","0.8124999999999998","0.75","0.6666666666666666","0.7291666666666666","0.7499999999999999","0.7083333333333333","0.7291666666666665","0.7291666666666666"
"29904","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","0.4166666666666667","0.5833333333333335","0.375","0.6875","0.14583333333333337","0.6666666666666666","0.4166666666666667","0.6875000000000001","0.41666666666666663","0.6250000000000001","0.6875","0.41666666666666674","0.6875","0.375","0.6875","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.6666666666666666","0.4166666666666667","0.6875","0.5","0.6250000000000001","0.7499999999999999","0.6041666666666667","0.6875","0.47916666666666663","0.6875","0.6666666666666666","0.7291666666666666","0.6874999999999999","0.6874999999999999","0.41666666666666663","0.6875","0.6874999999999999","0.6458333333333333","0.6875","0.6875"
"29952","0.9999999999999997","0.9999999999999999","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.39583333333333337","0.125","0.37500000000000006","0.14583333333333337","0.4791666666666667","0.39583333333333337","0.39583333333333337","0.4375","0.5208333333333333","0.375","0.14583333333333331","0.47916666666666674","0.41666666666666663","0.5","0.4791666666666667","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","1.0","1.0000000000000002","0.4791666666666667","0.39583333333333337","0.47916666666666685","0.6249999999999999","0.4583333333333333","0.24999999999999997","0.5208333333333334","0.45833333333333337","0.6041666666666666","0.5208333333333335","0.39583333333333337","0.4791666666666667","0.5208333333333334","0.4375","0.5208333333333331","0.5625","0.45833333333333337","0.5","0.5000000000000001","0.5416666666666666"
"30000","1.0000000000000002","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.37500000000000006","0.10416666666666666","0.39583333333333337","0.16666666666666669","0.45833333333333337","0.37500000000000006","0.25","0.3333333333333333","0.4583333333333333","0.3541666666666667","0.24999999999999997","0.4791666666666667","0.31249999999999994","0.45833333333333337","0.35416666666666663","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0000000000000002","1.0","0.4583333333333333","0.41666666666666674","0.4375","0.6041666666666666","0.4791666666666667","0.2916666666666667","0.5416666666666667","0.4583333333333333","0.6041666666666666","0.5625000000000001","0.3958333333333333","0.4791666666666667","0.5416666666666667","0.33333333333333337","0.45833333333333337","0.49999999999999994","0.45833333333333337","0.5208333333333334","0.5208333333333334","0.5"
"30048","0.9999999999999994","1.0","1.0","1.0","1.0","1.0","1.0","0.18750000000000003","0.16666666666666669","0.18750000000000003","0.125","0.3125","0.27083333333333337","0.04166666666666666","0.14583333333333331","0.16666666666666666","0.24999999999999994","0.24999999999999994","0.29166666666666663","0.10416666666666664","0.1458333333333333","0.125","1.0","1.0000000000000002","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0000000000000002","1.0","1.0","1.0","0.37500000000000006","0.20833333333333337","0.29166666666666663","0.375","0.3541666666666667","0.31249999999999994","0.4791666666666667","0.29166666666666674","0.37499999999999994","0.35416666666666674","0.2708333333333333","0.33333333333333337","0.35416666666666663","0.14583333333333331","0.16666666666666666","0.18749999999999997","0.29166666666666674","0.3125","0.3541666666666668","0.16666666666666666"
"30096","0.9999999999999997","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.0625","0.06250000000000001","0.10416666666666669","0.2916666666666667","0.6250000000000001","0.10416666666666669","0.10416666666666666","0.22916666666666663","0.625","0.14583333333333331","0.37499999999999994","0.625","0.22916666666666669","0.625","0.625","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0000000000000002","1.0000000000000002","0.9999999999999999","1.0","1.0","0.12500000000000006","0.10416666666666667","0.3125","0.625","0.16666666666666669","0.39583333333333337","0.6250000000000001","0.3333333333333333","0.6250000000000001","0.625","0.14583333333333334","0.37500000000000006","0.625","0.24999999999999997","0.6249999999999999","0.6250000000000001","0.375","0.6250000000000001","0.6458333333333333","0.625"
